Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,Hour,DayOfWeek,Month,FFTE Feed solids_deviation,FFTE Production solids_deviation,FFTE Steam pressure_deviation,TFE Out flow_deviation,TFE Production solids_deviation,TFE Vacuum pressure_deviation,TFE Steam pressure_deviation,Set Time_year,Set Time_month,Set Time_day,Set Time_dayofweek,Set Time_quarter,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP
46.91,1.3,55.01,10196.5,56.91,45.73,61.04,62.55,54.93,54.44,1648.51,45.63,29.64,80,6531.78,0,75.55,1.24,84.99,70.18,81.82,80,-67.19,17,2,9,-6.909999999999997,-11.93,0.5600000000000023,-3685.27,0.4500000000000028,-0.4000000000000057,0.0100000000000051,2019,9,4,2,3,50.0,43.0,55.0,2846.51,76.0,-67.59,85.0
39.54,1.17,45.9,9280.16,57.39,54.64,64.82,65.66,44.85,104.16,1942.93,46.56,29.07,80,3038.91,0,62.39,0.87,125.03,66.91,83.14,73,-74.93,1,3,9,-7.390000000000001,-5.850000000000001,-0.1599999999999966,-892.7599999999998,1.6099999999999994,-2.1399999999999864,-0.0300000000000011,2019,9,5,3,3,50.0,39.0,104.0,2146.15,64.0,-77.07,125.0
49.03,1.29,37.76,10177.04,49.25,36.58,62.64,62.72,32.28,-82.45,2987.68,64.09,26.35,80,3922.83,0,59.34,0.88,0.06,50.69,71.7,70,-57.63,5,2,12,0.75,10.72,211.63,-1005.16,13.659999999999997,12.630000000000004,119.94,2019,12,4,2,4,50.0,43.0,129.18,2917.67,73.0,-45.0,120.0
65.82,1.34,52.09,10196.5,50.86,57.8,68.31,61.75,52.17,120.0,1558.37,45.57,29.51,80,1699.74,0,69.72,1.26,119.91,78.09,79.92,92,-38.97,5,4,4,-0.8599999999999994,-9.170000000000002,0.0,909.5600000000002,0.2800000000000011,-0.3200000000000003,0.0900000000000034,2020,4,3,4,2,50.0,43.0,120.0,2609.3,70.0,-39.29,120.0
56.86,1.26,45.9,9440.34,49.41,58.03,67.03,67.07,46.04,118.57,1718.55,41.98,30.39,80,1654.99,0,43.03,0.88,120.23,66.62,83.99,73,-76.67,1,1,9,0.5900000000000034,-6.199999999999996,-0.1299999999999954,531.0600000000002,1.9699999999999989,0.9899999999999948,-0.2300000000000039,2019,9,3,1,3,50.0,39.84,118.44,2186.05,45.0,-75.68,120.0
60.21,1.3,49.49,9402.08,50.44,49.64,65.69,63.73,47.69,124.96,1987.68,47.68,35.0,80,2333.33,0,64.7,1.22,119.91,67.93,82.63,74,-71.39,3,4,10,-0.4399999999999977,-6.189999999999998,0.0400000000000062,-296.9399999999998,0.2999999999999971,-1.8199999999999927,0.0900000000000034,2019,10,25,4,4,50.0,41.5,125.0,2036.39,65.0,-73.21,120.0
25.22,1.27,44.92,9690.01,49.8,61.49,64.12,62.65,50.53,140.12,1603.76,41.12,30.39,80,1077.82,0,52.38,1.2,119.26,67.93,28.21,78,-65.76,22,3,4,0.2000000000000028,-8.530000000000001,-0.1200000000000045,1136.47,-8.380000000000003,23.390000000000008,0.7399999999999949,2020,4,23,3,2,50.0,42.0,140.0,2214.29,44.0,-42.37,120.0
61.35,1.27,35.7,10011.02,50.57,57.8,59.34,57.65,39.1,140.47,1846.95,47.39,32.97,80,1642.02,0,53.35,1.24,119.58,64.02,80.87,70,-77.39,22,0,4,-0.5700000000000003,1.8999999999999984,-0.4699999999999988,348.22,6.649999999999999,6.939999999999998,0.4200000000000017,2020,4,27,0,2,50.0,41.0,140.0,1990.24,60.0,-70.45,120.0
60.23,1.28,61.5,10414.4,50.25,46.64,65.81,61.63,62.28,90.01,1423.48,45.18,29.68,80,4442.28,0,75.93,1.23,119.91,79.21,80.0,91,-38.62,20,2,10,-0.25,-19.28,-8.63000000000001,-1429.7199999999998,-4.930000000000007,2.25,0.0900000000000034,2019,10,30,2,4,50.0,43.0,81.38,3012.56,71.0,-36.37,120.0
49.16,1.27,54.48,9780.16,49.25,61.75,64.34,62.65,53.67,129.88,2321.01,50.18,25.07,80,2276.26,0,58.03,1.2,120.56,75.65,38.92,82,-52.35,18,3,4,0.75,-11.670000000000002,0.1200000000000045,-61.970000000000255,12.97,-3.0799999999999983,-0.5600000000000023,2020,4,23,3,2,50.0,42.0,130.0,2214.29,71.0,-55.43,120.0
