Dept,Line,Sub Line,Shift,Waterfall,From Product,Cause Category,Cause,Total Time Mins,Freq,label,Timestamp
1,6,0,2,4,1400340,11,8,28,2,1,2020-05-04 08:00:00
3,6,1,0,3,1400338,11,2,41,1,1,2020-05-04 12:00:00
1,5,1,2,3,1400340,0,16,41,1,0,2020-05-02 09:00:00
3,6,0,0,4,1400340,14,25,27,3,1,2020-05-04 09:00:00
1,5,1,2,3,1400340,13,21,59,4,1,2020-05-04 21:00:00
1,5,0,2,0,1400340,7,1,27,3,0,2020-05-01 17:00:00
3,7,1,2,2,1400338,4,10,58,2,0,2020-05-02 12:00:00
1,7,0,1,3,1400338,10,22,28,2,1,2020-05-04 10:00:00
3,5,0,1,3,1400340,7,16,29,4,0,2020-05-03 21:00:00
1,7,0,2,2,1400338,2,5,19,3,0,2020-05-03 17:00:00
