Dept,Line,Sub Line,Shift,Waterfall,From Product,Cause Category,Cause,Total Time Mins,Freq,label,Timestamp
3,5,1,1,0,1400338,12,11,26,1,1,2020-05-04 11:00:00
3,5,0,2,3,1400340,6,10,54,1,1,2020-05-02 06:00:00
2,7,1,1,4,1400340,0,6,43,3,1,2020-05-03 08:00:00
3,7,0,1,4,1400340,14,20,29,3,0,2020-05-02 00:00:00
2,5,1,1,2,1400340,14,29,46,2,1,2020-05-01 16:00:00
3,6,0,2,3,1400338,5,21,10,1,1,2020-05-01 23:00:00
3,7,1,0,3,1400338,8,12,54,3,1,2020-05-01 02:00:00
1,5,0,1,3,1400340,2,17,54,3,1,2020-05-02 03:00:00
3,5,1,0,0,1400338,2,22,27,4,1,2020-05-02 04:00:00
2,6,0,1,4,1400340,13,8,30,4,1,2020-05-01 13:00:00
1,7,0,1,4,1400338,1,25,10,3,1,2020-05-05 03:00:00
1,5,1,0,3,1400340,14,10,5,2,0,2020-05-04 20:00:00
1,5,0,1,2,1400340,4,22,47,3,0,2020-05-04 04:00:00
1,6,0,1,2,1400338,3,8,41,2,0,2020-05-01 14:00:00
1,7,1,0,3,1400338,3,17,58,3,1,2020-05-01 00:00:00
